"FIT.Number";"year.of.record";"Service.type";"Reason.for.force";"UOF.effective";"District.or.division";"Force.type";"Force.level";"Month.occurred";"Officer.primary.key";"Officer.sex";"Officer.race";"Officer.age.at.time.of.UOF";"Officer.years.exp.at.time.of.UOF";"Officer.injured";"Citizen.race";"Citizen.sex";"Citizen.age";"Citizen.injured";"Disposition"
"66";"FTN2018-0473";2018;"Arresting";"Flight from an Officer";"No";"6th District";"Hands / Escort tech";"L1";12;"d21b6ff89c1e10565ef230adc61d67d3";"M";"White";"26";"0";"Yes";"White";"M";"NULL";"No";"UOF Justified"
"67";"FTN2018-0474";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"2nd District";"Takedown (w/injury)";"L2";12;"77793a9f521811f3f99bc04e2d1de206";"M";"Black / African American";"39";"14";"No";"White";"M";"55";"Yes";"UOF Justified"
"68";"FTN2018-0474";2018;"Call for Service";"Resisting Lawful Arrest";"Yes";"2nd District";"Takedown (w/injury)";"L2";12;"de2cb783ff6c6c16ef8ab77b3f467b0c";"M";"Black / African American";"53";"27";"No";"White";"M";"55";"Yes";"UOF Justified"
"69";"FTN2018-0472";2018;"Arresting";"Battery on Police Officer";"Yes";"3rd District";"Takedown (no injury)";"L1";12;"d748aa90c0db2e82c2a628d253bd3163";"M";"White";"34";"2";"No";"White";"M";"26";"No";"UOF Justified"
"70";"FTN2018-0470";2018;"Arresting";"Flight from an Officer";"No";"8th District";"L2-Taser";"L2";12;"e0a20d93c286215978f9b5f3518c8505";"M";"White";"40";"4";"Yes";"Black / African American";"M";"27";"No";"NULL"
"71";"FTN2018-0471";2018;"Call for Service";"Weapon Exhibited";"Yes";"3rd District";"Firearm Exhibited";"L1";12;"be0f87812224ec2d8da46f5f632569f4";"M";"Black / African American";"31";"9";"No";"Black / African American";"M";"33";"No";"UOF Justified"
"72";"FTN2018-0469";2018;"Call for Service";"Flight from an Officer";"Yes";"1st District";"Firearm Exhibited";"L1";12;"fa768272dbc941f698f30b9c90b5b4eb";"M";"Black / African American";"28";"5";"No";"Black / African American";"M";"34";"No";"UOF Justified"
"73";"FTN2018-0468";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"1st District";"Takedown (no injury)";"L1";12;"f105bb14e8b8b5fc3642093d096af6f0";"M";"Black / African American";"32";"2";"No";"Black / African American";"M";"33";"No";"UOF Justified"
"74";"FTN2018-0468";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"1st District";"Takedown (no injury)";"L1";12;"bc7311ac7cc4de805346aaecd2708a77";"M";"Black / African American";"35";"2";"No";"Black / African American";"M";"33";"No";"UOF Justified"
"75";"FTN2018-0468";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"1st District";"Takedown (no injury)";"L1";12;"caa5139064cdaf30953511aa51836ab3";"M";"White";"31";"1";"No";"Black / African American";"M";"33";"No";"UOF Justified"
"76";"FTN2018-0467";2018;"Call for Service";"Weapon Exhibited";"Yes";"7th District";"Firearm Exhibited";"L1";12;"cb85555359a3154396fe929d73aa7fce";"M";"Black / African American";"35";"2";"No";"Black / African American";"M";"15";"No";"UOF Justified"
"77";"FTN2018-0467";2018;"Call for Service";"Weapon Exhibited";"Yes";"7th District";"Firearm Exhibited";"L1";12;"cb85555359a3154396fe929d73aa7fce";"M";"Black / African American";"35";"2";"No";"Black / African American";"M";"16";"No";"UOF Justified"
"78";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Firearm Exhibited";"L1";12;"863c668f57e0994ea2937e40c931349e";"F";"Hispanic";"36";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"79";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"6th District";"Defense Tech / Take-down";"L2";12;"863c668f57e0994ea2937e40c931349e";"F";"Hispanic";"36";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"80";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Firearm Exhibited";"L1";12;"3d54979f1ecae0c1abc8a7489f93ded2";"M";"Asian / Pacific Islander";"26";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"81";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"6th District";"Defense Tech / Take-down";"L2";12;"3d54979f1ecae0c1abc8a7489f93ded2";"M";"Asian / Pacific Islander";"26";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"82";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Head Strike (No Wep)";"L3";12;"3d54979f1ecae0c1abc8a7489f93ded2";"M";"Asian / Pacific Islander";"26";"3";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"83";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"6th District";"Hands / Escort tech";"L1";12;"947561a8f18226c4f33301746552d9ec";"M";"White";"47";"9";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"84";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"No";"6th District";"Firearm Exhibited";"L1";12;"947561a8f18226c4f33301746552d9ec";"M";"White";"47";"9";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"85";"FTN2018-0466";2018;"Arresting";"Resisting Lawful Arrest";"Yes";"6th District";"Hands / Escort tech";"L1";12;"1e00a368b5c2b3ed444cd8d4354a475d";"M";"White";"32";"2";"No";"Black / African American";"M";"22";"Yes";"UOF Justified"
"86";"FTN2018-0464";2018;"Arresting";"Flight from an Officer";"Yes";"3rd District";"Defense Tech / Take-down";"L2";12;"ec1e1f835352855fc69416b86745549c";"M";"White";"27";"2";"No";"Black / African American";"M";"NULL";"No";"UOF Justified"
"87";"FTN2018-0463";2018;"Call for Service";"refuse verbal commands";"Yes";"8th District";"L2-Taser";"L2";12;"4705706447df5fa327b6152bd3a0680d";"F";"White";"35";"1";"No";"White";"M";"25";"No";"UOF Justified"
