"Action.taken.OIPM";"Action.taken.year";"Allegation.short";"Allegation.simple";"Allegation.primary.key"
"159";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"160";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"161";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"162";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"163";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"164";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"165";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"166";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"167";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"168";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"169";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"170";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"171";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"172";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"173";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"174";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"175";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"176";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"177";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"178";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"179";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"180";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
"181";"Data Inconsistency";"NULL";"";"Other";"08e8fc142763fe1e666902c627bec76f"
